title,description
Turkcell Hemen Biten Ek Paketler,“Teşekkür ederim.”
Turkcell Yurt Dışı Gelen Çağrı Engelleme,“Teşekkürler”
Turkcell Superbox Başvurusu İptali Ve Fiyat Güncellemesi Şikayeti,“Şikayetimi en kısa sürede çözümlediği için Turkcell'e ve müşteri hizmetleri çalışanlarına teşekkür ederim.”
Turkcell Platinum Aynen Favorim 60 GB Sorunsalı.,“İrtibata geçen Müşteri temsilcisine çok teşekkür ederim. Sorunum çözülmüştür.”
Turkcell Başkası Tarafından Kullanılan Hattı Bana Verdi,"“Kısa sürede tarafımıza ulaşıp sorunumuzu çözerek olması gereken hizmet kalitesini göstermiş olmaları gerçekten güzel. 
Turkcell yetkililerine teşekkürler”"
Turkcell Müşteri Kazanmanın Değil Sadece Paranın Peşinde,“Şikayetim çözüldü”
Turkcell Yanlış Ücretlendirme Ve Müşteri Temsilcisi,“Kısa süre içinde sorunuma çözüm bulduğunuz için teşekkür ederim.”
Turkcell Soy Günü Son Hız Devam,"“Şikayet Mesajımı yazdıktan 1 gün sonra çözüme ulaşıldı. Firmaya ve sorunumu takip edip sonuçlandıran ""şikayet var.com"" a teşekkür ederim”"
Turkcell Den Haksız Fatura,“Her şeye rağmen kaliteli bir firmasınız. Teşekkürler...”
Turkcell Yurt Dışına Çıkmadan Yurt Dışı Tarifesi,“Sorun çok hızlı bir şekilde ertesi gün çözüldü ve para iadesi gerçekleşti. Teşekkürler...”
Turkcell Tarife Değişikliği Ücretlendirme,“Turkcell ailesi sitemimi duyup adalet terazisinden şaşmamış ve hakkım olanı iade etmiştir. Buradan tüm Turkcell ailesine ve aracı olan şikayetvar.com değerli çalışanlarına teşekkür ederim. 🙏🏽”
Turkcell E Sim Sorunu,“Teşekkür ederim”
Turkcell Yedek Sim Kart Sorunu,“Firmanın talebimi dikkate alıp iptal işlemini durdurması mağduriyetimi giderdi. Teşekkürler...”
Turkcell Şube Hat Satmak İçin Online Başvuru Hattımı İptal Etmedi,“Teşekkür ederim sorunum hızla çözüldü”
Turkcell Hat Aktifleştirme Sorunu,“Tarafıma dönüş yapılıp sorunum çözüldü. Teşekkür ederim.”
Turkcell İn Sözleşme Usulsüzlüğü,“Sorun çözüldü teşekkür ederim”
Turkcell Böyle Bir Mesaj Alıyorum,“Sorunum çözüldü. Teşekkürler”
Turkcell Piyasanın Çok Çok Üstünde Fiyat Veriyor,“Çözümünüz için teşekkür”
Turkcell Başkalarının E Nabız Hesabını Yayıyor,“Hızlı bir şekilde çözüm sağladığınız için teşekkür ederim.”
Turkcell Haksız Bilgilendirme Verilmemesi İnsanları Fatura İlgili,“Teşekkürler her şey için”
Turkcell Fahiş Fiyat Uygulaması,“İlgilendiğiniz için teşekkür ediyorum”
Turkcell Ücret İademi Yapsınlar,“Abonelik iptal edildi ve para iadesi yapıldı. Teşekkürler Turkcell.”
Turkcell Fatura Durdurma Özelliği Sorunu Ve Mağduriyet,“Sorunum çözüldü teşekkürler”
Turkcell Tyg Avantaj Ekim 1 Gün 180TL Fatura Kesilmiş,“Teşekkürler”
Turkcell Faturama Yansıyan Haksız Ücret Talebi Ve Mağduriyetim,“Çok hızlı bir şekilde sorunum çözüldü teşekkürler”
Turkcell Hattımla Sürekli Şebeke Problemi Yaşıyorum,“Çözüldü teşekkürler”
Turkcell Gönderdiğiniz Faturayı Kabul Etmiyorum,“Süreç te yaşananlardan çok da memnun olmasam da yoğun uğraşlar ile iade alabildim. Teşekkürler...”
Turkcell Fatura İle İlgili Sorun,“Teşekkürler dikkatiniz ilginiz için”
Turkcell Gece Kullanılmayan İnternet İçin Haksız Fatura Kesimi,“Hızlı bir şekilde dönüş yapıldı ve çözüm için yapıcı oldular. Ücret iade edildi. Sorunum çözüldü. Teşekkürler.”
Turkcell Faturalı Hat Devam Etmek İstemiyorum,"“Talebim üzerine Turkcell Müşteri Hizmetlerinden 1 gün içerisinde dönüş sağlanıp, bir sonraki fatura döneminden 180 TL ücret iadesi olarak fatura ödememden düşürüldü. 
Destekleri için teşekkür ederim.
Sınır bölgesine yapılan turistik seyahatlerinizde telefonumuzun otomatik olarak anlık sinyal aldığı GSM operatörüne bağlanması hususu bence belli bir saat aralığında ücret yansıtılmamalıdır. 
Belli kist uygulanacak saat dilimi konulabilir.”"
Htp Click N Play Turkcell Faturana Yansıtılmış,"“1 gün içinde ilgilenildi, hata düzeltildi. Müşteri hizmetlerine ilgilerinden dolayı çok teşekkür ediyorum. İyi çalışmalar dilerim.”"
Turkcell Kurumsal Müşteri Hizmetleri,“İletişim için teşekkürler”
Turkcell Hattım Kullanıma Kapalı,“Teşekkür”
Turkcell Tarife Değişikliği Fahiş Fiyat,“Teşekkürler”
Turkcell Fatura Sözleşmesine Uymuyor.,“Kısa zamanda çözüldü Teşekkürler”
Turkcell Telefon Paketi Yükleme Yapıyorum,“Sorunumu çözdüğünüz için teşekkür ederim”
Turkcell Haksız Tyg Ekstra Ücreti Alıyor,"“Sorunum halloldu, teşekkürler”"
Turkcell Bir Sinyal Sorununu Çözemedin,“Hızlı çözüm ve destek için teşekkür ederim. Bu tür hataların bir daha tekrarlamayacak şekilde dikkate alınmasını da rica ediyorum.”
Turkcell SMS Alamıyorum Ve İslerim Aksıyor.,“Sorun çözüldü Teşekkür ederim”
Turkcell TÖHAŞ Geç Tahsilat Bedeli,“Turkcell'e müşteri memnuniyet odaklı geri dönüşü için teşekkür ederim”
Turkcell Arama Yönlendirme İptal İ,“Teşekkürler çözüldü”
Turkcell Habersiz Alınan Abonelik Ücretleri,"“Faturadaki nasıl olduğunu anlamadığım HP 360vrtube isimli kesinti ve bu yüzden çok kızdığım Turkcell, şikayetimden sonra problemimi çok hızlı bir şekilde çözdü ve fatura da düzeltme yaptılar. Teşekkürler...”"
Turkcell Kullanmadığım Hattın Faturasını Yansıtıyor,“İyi ki varsınız şikayet var sayenizde hakkım olanı almak güzel. Meblağ düşük olsa da haklı olduğunu ispatlamak güzel. Teşekkürler...”
Turkcell Tarifem Yurt Dışında Geçerli - Saat İşgüzarlığı,“İlgilerinden dolayı teşekkür ederim.”
Turkcell Fazladan Tahsilat Yaptı Ve Çocuk Oyalar Gibi Beni Oyalıyorlar,“Turkcell kurumsal ailesine bilgi verdikleri için teşekkür ederim”
Turkcell İzinsiz SMS Ücreti Ve Operatör-Banka Anlaşmazlığı,“Teşekkürler”
Turkcell Ve Paycell İn Açıklıkları,"“Ücret iadesi yapılıp, abonelik iptal edildi. Teşekkürler”"
Turkcell Veri İşleme İzni Verdim Ama Hediye İnternet Gelmedi,“Hızlıca beklediğimden detaylı bir şekilde çözüme ulaştı. Teşekkürler”
Turkcell Töhas Geç Tahsilat Bedeli,“Teşekkürler Turkcell”
Turkcell Uygulama Şifremi Değiştiremiyorum,"“Sorumu çözmeye yardım eden, Şikayetvar ve çözen Turkcell'e Teşekkürler”"
Turkcell Tarafından Apple Saat Tarifesi Hakkında Yanlış Bilgilendirme,“Sorunumla ilgilenildi. Teşekkürler.”
Turkcell Fatura Aşımı Yapıldığında Uyarın,“Teşekkürler”
Turkcell Ek Paketler Çok Pahalı Ve Kullanmadan Bitiyor!,“Talebim dışında tanımlanmış paketin ücret iadesi gerçekleştirildiği ve sorun kısa sürede çözüldüğü için Turkcell'e teşekkür ederim.”
Turkcell Paycell'den İzinsiz Digifun Çekimi!,“Yanlışlığın düzeltilmesi konusunda gösterdiğiniz hassasiyet ve çabalarınız için teşekkür ederim.”
Turkcell Operatör Değişikliği Sonrası İnternet Kullanamama Sorunu,“Teşekkürler.”
Turkcell İade Süreci Saçmalığı,“Teşekkürler”
Turkcell Kullanmadığım Paketten Borçlandırmış,“Talebime şikayet var sayesinde olumlu yanıt aldığım için teşekkür ederim.”
Turkcell Tarafından Verilen Yanlış Bilgiler Ve Mağduriyet,"“Sorun çözüldü, teşekkürler.”"
Turkcell Digifun Ve Premium Mobil Ödeme Üyeliği,“İlgi ve alakanıza teşekkür ederiz sorununuz koşa süre de çözüldü başarılarınızın devamını dileriz”
Turkcell Paycell Sim Kart Sorunu,“Teşekkürler”
Turkcell E-sim Geçişi Sonrası Çekim Sorunu Ve Müşteri Hizmetleri Yetersizliği,“Gece şikayetimi yazdım sabaha halloldu düzeltildi ilgi ve alakanız için teşekkürler”
Turkcell Çekmeyen GSM Operatörü,“Teşekkürü şikayetime hızlı dönüşleri nedeniyle yazıyorum. Teşekkürler...”
Turkcell Hesabıma Giriş Yapamıyorum,“Teşekkürler”
Turkcell E-SİM Sorunu Ve Turkcell İn İlgisizliği,“Sağ olun çalışmalarını sağladınız gerçekten. Teşekkürler...”
Turkcell Yurt Dışı Kullanımında Haksız Kazanç Sağlanması Hk.,"“Turkcell ' e teşekkürler, sorunumuzla ilgilenip çözüm ulaştırdılar.”"
Turkcell'de Çekim Sorunu Ve Tehditkâr Cayma Ücreti,“Ücret iadem yapıldı. Teşekkürler...”
Turkcell Hattım Aktifleşmedi Ve Bu Konuyla İlgilenen Olmadı.,“Çözüme ulaşabildik gayet kibar ve yardim severdi Turkcell Çözüm merkezi. 5 dakika içinde ellinden geleni yaptılar ve çözüme ulaştık... Her ufak bir sorunda bile hemen geri dönüş sağlandı ve o yüzden ekstra bir teşekkür etmek isterim...”
Turkcell İnternetim Hemen Bitti,“👍. Teşekkürler...”
Turkcell Htp Click N Play Ücreti Ödedim Ücret İademi İstiyorum,“Şikayetim çözüme kavuşturuldu kesilen ücret iade edildi teşekkür ederim”
Turkcell Faturasız Açıklanamayan Tl Kesintisi,“Birkaç gün içinde geri dönüş sağlandı ve ücret iade edildi. Teşekkürler”
Turkcell Hattım Aktifleşmedi Ve Bu Konuyla İlgilenen Olmadı.,"“Merhaba, problemim çözüldü. Sorunun kaynağı şikayetimde de belirttiğim gibi Turkcell ile ilgili değildi. Maalesef dağıtımcı firma yüzünden mağdur oldum. Çözüldüğü için teşekkür ederim. İyi çalışmalar.”"
"Enflasyon %50, Turkcell Zamları %100!",“Teşekkürler”
Turkcell'den Yeni Hat Alırken Yaşadığım Sorun,"“Sorunu çözdüğünüz için, ve bu sorunu üst mercilere ulaştırıp sorunla ilgili çözüm arayışına girdiğiniz için teşekkürler”"
Turkcell'in Saçma Sapan Cayma Bedelleri,"“Sorunum çözüldü, 
Teşekkürler”"
Turkcell Funnyzone Üyelik İptali,“Şikayeti hemen dikkate alıp ivedilikle çözüm getirdiği için Turkcell e teşekkür ederim.”
Turkcell Çocuk Hattı Yüksek Fatura Uygulama Müşteri Onayı Olmadan!,“İlginize ve problemin hızlı çözümü için teşekkürler.”
Turkcell Çalışanı İşlemimi Yapmayı Reddetti.,“Müşteri temsilcisi Teşekkür ederim.”
Turkcell Fatura Kullanmadığım Halde Gelen Yüksek Fatura,“Sorunu çözen temsilciye teşekkürler”
Turkcell Kocaeli Şehir Hastanesinde Çekmiyor,“Şikayetimle ilgilendiği için teşekkürler. Umarım o eleman bundan sonra müşteri dedikodusu yapmadan iyi çalışır.”
Turkcell Ses Aşım Paketi Adın Altında Alınan Ücret,“Teşekkürler.”
Turkcell Telsiz Kulanım Ücretinin Ödeme Yapmama Rağmen Çekilmemesi.,“Sorunun çözülmesinde emeği geçen Turkcell çalışanlarına teşekkür ederim.”
Turkcell Yurt Dışı Hizmeti Sağlayamadığı Halde Fatura Ediyor...,“Teşekkürler hızlı müdahale için.”
Turkcell Yurt Dışı Kullanım Ücreti,“Sorun giderildi teşekkürler”
Turkcell Superbox Müşteri Hizmetleri Temsilcileri,“Müşteri memnuniyetini önemsediği ve bunu hissettirdiği için teşekkür ederim.”
"Turkcell'e Talep İletemiyorum, Uygun Başlık Yok.",“Konu ile ilgili beni telefonla arayarak olayın çözümü kavuşması adına her türlü desteği sağlayan Turkcell Müşteri Hizmetleri temsilcisi Cemile Hanım'a teşekkür ederim.”
Turkcell Haksız Alınan Ücret,“İlginiz için ve çözüm için teşekkür ederim. Umarım tekrar bu sorunlarla karşılaşmayız.”
Turkcell Htp Abone Yapmışlar,“Teşekkürler”
Turkcell'in Yurt Dışı Kullanım Ücretleri Şaşırtıyor,“Hızlıca problemi çözdüler. Teşekkürler...”
Turkcell İzinsiz Kredi Kullanımı Ve Yanıltıcı İşlemler,“Sorun çözüldü.”
Turkcell İsteğimin Dışında Ücret Çıkıyor,“Çözüm sağlandı her şey için teşekkür ederim”
Turkcell Geri İade Olmasını İstiyorum,“Teşekkür ederim.”
Turkcell Bilgisizliği Aboneyi Yanıltma,“Son müşteri temsilcisine mağduriyetimi gidererek sorunu çözüme ulaştırdığı için teşekkür ediyorum”
Turkcell Kullanımsız Paket Aşımı,“Sorunum çözüldü Turkcell ailesine teşekkür ederim”
Turkcell Askeri Bölgede Yaşanan Şebeke Sorunları,“Sorun Çözüldü Teşekkürler.”
Turkcell Fatura Sorunumun Çözülmesi Lazım,“İade işlemi hızlıca gerçekleştirildi teşekkür ederim.”
Turkcell Oyun Üyeliği Hakkında Etik Bulmuyorum,“Kendilerine geri dönüşlerinden ve desteklerinden ötürü teşekkür ederim. 🙏🏻 Turkcell kalitesine yakışır şekilde problem çözüme kavuştu.”
Turkcell Tyg Yurt Dışı Faturası,“Sorunu çözdüğünüz ve faturamı düzelttiğin için teşekkür ederim.”
Turkcell Kapsama Alanı Ve Müşteri Hizmetleri İhmalkarlığı,“Teşekkürler”
Turkcell'in Yurtiçinde Yurt Dışına Çıkmış Muamelesi Yapması.,“Şikayetime çözüm bulan Aygül hanıma çok çok teşekkür ederim 🙏”
Turkcell Haksız Abonelik Ve İade Talebi,“Lütfen ortaklık kurduğunuz kim olduğu belli olmayan firmalar size ve marka değerinize zarar veriyor. Teşekkürler...”
"Turkcell Premium Paket İçerisinde Önerilen Ama Verilmeyen, Youtube.com Hk.",“Her şey için teşekkür ederim kalite tesadüf değildir diyorum hatanızı anlayıp düzeltme erdemine sahip olduğunuz için tekrar teşekkür ederim”
Turkcell Paket Fiyatı Değişikliği,“Teşekkürler”
Turkcell İstediğim Şekilde Bir Tarife Sunamıyor,"“Türkiye'nin iletişiminde çok önemli bir yere sahip olan Turkcell firmasının gerekli düzeltmeleri hızlı bir şekilde yaparak tekrar güvenilirliğini sağladığını görmekten mutlu olduğumu belirtmek ister, Şahsım adına teşekkür ederim.”"
Turkcell Tarife Mağduriyeti,“Turkcell yetkililerin kısa sured3 dönüşleri için teşekkür ederim iyi çalışmalar dilerim”
Turkcell SMS İle Hatalı Borç Bilgilendirmesi Ve Ödeme İadesi Talebi,“Sorunum çözüldü çok teşekkürler”
Turkcell Salla Kazan Hediye Paketi,“Sorunum hızlı bir şekilde çözüldü ilgili arkadaşlara çok teşekkür ediyorum. Aşım tutarı faturamdan iptal edildi.”
Turkcell Hesabıma Giriş Yapamıyorum,“Öncesinde mobil uygulama ile ilgili yaşanan problemleri tespit edip tüketiciye yansımadan ya da yansıdıktan hemen sonra çözümlenmesini beklerim. Teşekkürler...”
Turkcell Salla Kazandan Kazandığım İnternet Gelmedi,“Sorun çözüldü teşekkürler”
Turkcell İle Yaşadığım Faturalandırma Sorunları,“İyi günler yapmış olduğum şikayetim üzerine haklı olduğum konu hakkında sonuçlandırdığınız ve çözüm ürettiğiniz için teşekkür ederim yalnız defalarca müşteri hizmetlerinizi arayıp da şikayetimi iletmeme rağmen çözüm üretilmediği gibi bir üst birimlerden bilgi alınıp geri dönüle bilinirdi ki müşteri memnuniyeti sağlardı bu durumda Turkcell e karşı hayal kırıklığına uğramış bulunmaktayım sorunlarımızın çözülmesi için illa ki farklı kuruşlara şikayetmi etmemiz gerekiyor ben sıkıntımın müşteri hizmetleri ile birebir direk çözülmesini isterdim. İyi çalışmalar”
Turkcell Hat Aktivasyonu Yapamıyorum,“Teşekkürler”
Turkcell Digitalland Üyeliği Onaysız Para Çekilmesi,“Şikayetime hızlıca çözüm yarattığınız için teşekkür ederim. Başarılarınızın devamını dilerim.”
Turkcell Mobil Operatör Hediye İnternet Promosyonlarındaki Sorunlar,“En kısa zamanda yapılan bilgilendirme için teşekkürler”
Turkcell'de Yeni Hat Aktivasyon Sorunları Ve Yetersiz Müşteri Hizmeti,“Sorun çözüldü teşekkür ederim”
Turkcell Faturama Yansıtılan Tyg Avantaj Bedeli İtirazı,“Sorunumu çözen Turkcell ekibine teşekkür ediyorum. Son derecede ilgili davranan personellerine şükranlar sunuyorum”
Turkcell Taahhüt Bitişi Ve Fatura Şoku,“Çok teşekkür Ederim ilginiz için”
Turkcell Yanlış Fatura Yansıması,“Dönüş için teşekkürler”
Turkcell Fatura Ücretlendirmesi Ve Paket Değişikliği Sorunu,“Uygulama üzerinden talep açtık iletişime geçen arkadaş çok ilgilendi özellikle teşekkür ederim.”
Turkcell Fatura Sorunu Yaşamaktayım,“Teşekkür ederim.”
Turkcell'in Şebeke Sorunları Ve İnternet Hizmetindeki Yetersizlik,“Güvenlik bilgileri alındıktan sonra sorunun çözüldüğünü söylediler teşekkürler 👏👏😊”
Turkcell Tanımadığım Numaraların Mesajları,“Teşekkür ederim ilginiz için”
Turkcell Tyg Avantaj Adı Altında Fazla Fatura Kesmesi,“İlginiz için teşekkür ederim”
Turkcell Fatura Fiyaskosu: Beklenmedik Ücretlerle Karşı Karşıya,“Hemen dönüşünüz ve müşterinize verdiğiniz değer için teşekkür ederim.🥹🙏🏻”
Turkcell Yanlışlıkla Geçiş Yaptığım Faturalı Paketin İptalini İstiyorum,“Teşekkür ederim müşteri temsilcisi sorunu çözdü. Ücret iadesi yapıldı.”
Turkcell Otomatik Ödeme 2 GB Yüklenmedi.,“Teşekkür ederim kısa zamanda sorun çözüldü”
Turkcell Numaramı Açılmasını İstiyorum,“Teşekkürler”
Turkcell Haksız Ücret Kesintisi,“Geç de olsa çözüldü. Teşekkürler...”
Onayım Olmadan Turkcell Ve Paycell Aracılığı İle Clic&Play Ödemesi,“Teşekkürler”
Turkcell'den Operatör Değişikliği İstiyorum,“Görüşme kaydım dinlendi ve çözüm sunuldu. Turkcell kalitesine de bu yakışır. Teşekkürler”
Turkcell Digifun Ve Premium Mobil Ödeme Üyeliği,“Teşekkürler sağ ol”
Turkcell Hızlı Giriş Kodu Gelmedi,“Sorunum çözüldü”
Turkcell Yanlışlıkla Başlatılan Spor Üyeliği Ve İptal Zorluğu,“Sorun giderildi teşekkürler”
Turkcell Superbox GO Cihazında Bağlantı Sorunu Ve Kötü Müşteri Hizmeti,“İyi. Teşekkürler...”
Turkcell'den Anlamsız İlgisizlik Ve Beceriksizlik,“Teşekkürler. İptal edildi.”
Turkcell Otomatik Ödeme 2 GB Yüklenmedi.,"“Teşekkürler, şikayeti yayınlar yayınlanmaz sorun çözüldü.”"
Turkcell Paycell Htp 360vrtube İstenmeyen Kayıt,“Sorunum çözüldü şikayet var ve Turkcell'e çok teşekkür ederim”
KKTC De Turkcell Tyg Ücreti,“Hızlı bir şekilde çözdüğünüz için teşekkür ederim”
Turkcell-VİZYON Elek. Para Ve Ödeme Hizm.-click Play İzinsiz Ödeme,“Bu sürece gerek kalmamalıydı. Teşekkürler...”
Turkcell İsteğimin Dışında Ücret Çıkıyor,“Teşekkürler”
Turkcell Ek Kullanım Ücreti,“Teşekkürler”
Turkcell Ve Allinmobi Bilgim Dışında Çekilen Tutar,“Sorun çözüldü”
Turkcell Başkasının Borcu Bana Geliyor,“İlgilendiğiniz için çok teşekkür ederim”
Turkcell Yanlışlıkla Geçiş Yaptığım Faturalı Paketin İptalini İstiyorum,“Teşekkür ederim.”
"Turkcell, 25GB Olan Paketin İçin Boşaltıp Bana 752 TL Fatura Kilitledi",“Teşekkürler ilginiz için.”
Turkcell Ve Diğer Varlik Şirketleri,“İlginizden dolayı teşekkür ederim”
Turkcell Kayıtları Doğru Yapmadığı İçin Temizlemesi Müşteriye Kalıyor,“Sorunum sonunda çözüldü. Keşke en başında çözülseydi. Ama yinede teşekkürler.”
Turkcell'in Şebeke Sorunları Ve İnternet Hizmetindeki Yetersizlik,“Teşekkür ederim”
Turkcell Superbox Modem İade Ücreti,“Çözüm merkezinden Nur hanım ulaşım sağladı sorunumuz çözüldü kendisine teşekkür ederim”
"Turkcell Htp Click N Play, Facebook Da Bir Linke Tıklar Tıklamaz Mobil Ödeme",“Şikayetten hemen sonra aradılar. Ücret iadesi gerçekleştirdiler. Müşteri temsilcisi ilgili ve alakalı idi. Turkcell operöterüne ve çalışanlarına teşekkür ederim.”
Turkcell Sim Kart Aktivasyonunda E-Devlet Hatası Ve İletişim Sorunu,"“Şikayetim hızlıca çözüldü, teşekkürler.”"
Turkcell Tyg Avantaj Ücreti,“Çok güzel ilgilendirdi ve yönlendirdiler. Teşekkür ederim.”
Turkcell Yeni Aldığım Hattın Eski Sahibi Sorunlu Çıktı Kabak Bana Patladı,“E devlet aktivasyonu sorunum için ilgili yetkili tarafından aranarak yaklaşık 30 dakika süren telefon görüşmesi esnasında işlem birebir yaptırılarak hata veren kısım sistemden tespit edilerek ( kimlik arka yüzü yüklendi tiki atmasına rağmen yüklenmemiş gözüktüğü) ilgili tarafından çözüldü ve e devletçe hattım aktive edilme son aşamasına kadar yapıldı ve sistemden kontrol edildi. Birebir ilgi ve alaka sorun çözümüne kadar nezaketle tamamlanma beni çok memnun etti. Çok teşekkürler”
Turkcell Fatura Geri Dönüş Yapın,“Biraz sancılı bir süreç olsa da sorunum çözüldü' ücret iadesi yapıldı. Ama elimde geçmişe dönük arama kaydı bulunmasaydı işim zordu. Yine de teşekkür ederim Turkcell'e”
Turkcell Aracılığı İle Yanlışlıkla Htp Click N Play Almak,“Şikayetimi dinleyerek problemimi çözdüğünüz için teşekkürler”
Turkcell Paycell Şikayet Muhatap Yok,“Para iadesi yapıldı. Teşekkürler...”
Turkcell'de Çalışan Eleman Yüzünden Telefonum Kırıldı,"“Teşekkür ederim aradılar, ücret iadesi yapıldı.”"
SYS Varlık Şirketi Telefonu Açmıyor Turkcell Mağdur Ediyor,“Sorunum çözüldü. Bu aşamada şikayetimle ilgilenen tüm Turkcell ekibine teşekkürler.”
Turkcell Ve Orta Direğin Tekeri,“Teşekkür ederim bana dönüş yapıp mağduriyetimi giderdiğiniz için”
Turkcell Finansman A. Ş Takip Kaydını Silmiyor,“Teşekkürler”
Turkcell Mevcut Müşterilere Haksız Tarife Uygulaması,“Teşekkürler”
Turkcell Paycell Uygulaması Güvenilir Değil Ve Harcamaları Kontrol Edilemiyor,“Temsilcinin ilgi ve alakasından dolayı çok teşekkür ederim iyi ki varsınız.”
Turkcell Haberim Olmadan İnternet Kullanımı Ve Yenilenmesi,“Gizem Hanım'a çok teşekkürler.”
Turkcell Otomatik Üyelik Yenileme,“Gerekli düzeltmeyi yaparak sorunu düzelttiler. Teşekkürler...”
Turkcell Tl Metre Servisi Hatalı Bilgilendirme Mi Yapıyor?,“Teşekkür ederim”
Mobil Turkcell Uygulamasına Giriş Sorunu Ve Yetersiz Destek,“Turkcell müşteri hizmetlerine teşekkür ediyorum 😊 sorunu hemen çözdüler”
Turkcell Yüzde 300 Zam Yaptı,“Turkcell firmasını hiçbir zaman değiştirmeyi düşünmedim düşünmüyorum sadece bayilik verdiklerini kontrol etsinler teşekkürler”
Turkcell Paycell Ve Vizyon Elektronik Htp Click N Play Ortaklığı,“Çok teşekkür ederim inceleme mesajı geldikten sonra iade mesajı tarafımıza iletildi sorunumuz çözüldü. Teşekkürler...”
"Turkcell'in Onaysız Abone Yapan, Para Çeken Turkcell Menü Uygulaması",“Teşekkürler”
Turkcell Superbox İnternet Sorunu,“Bu şekilde şikayetçi olmak istemezdim ama demek ki bazen gerekiyor sorunu çözmek için ilginiz için teşekkür ederim”
Yanlış Faturalar Ve Kayıp GB'lar: Turkcell'in Müşteri Hizmetleri Sorunu,“Teşekkür ederim”
Turkcell İnternet Paketi Bitmesi,“Sorunun nedenini açıklayarak iptal edildi ilgililere teşekkürler...”
Turkcell Bayi Avcılar Reşitpaşa Caddesi Mağazadaki Mağdur Edilmek,“İlginizden dolayı teşekkür ederim”
Turkcell Tgy Extra Hatası Vererek Faturama Ek Ücret Yansıması,“Teşekkürler sorunum BTK yı aramadan çözüldü ama bu sorunu yaşayan arkadaşlar olursa btkyı aramaları faydalarına olacaktır.”
Turkcell Günlerdir Aynı Mesajı Atıyor,“Bilgilendirmeler için teşekkür”
Turkcell Abonelik Ücretlerine Usulsüz Zam,“Çok şükür önce Turkcell'den böyle bir şikayet beklemiyordum fakat çözüm sundular teşekkür ederim”
Turkcell Superbox Pahalı Fiyata Kotu Hizmet Veriyor,“Teşekkürler”
Turkcell Hat Taşıma Sorunu,“Ürün geldi çok teşekkür ederim”
Turkcell Tyg Bedeli Bilgim Dışında Ücret Yansıtıyor.,"“Problem hemen çözüldü ücret iadesi yapıldı, teşekkür ederim”"
Turkcell İnternet Hattıma Yüklenmedi.,“Teşekkürler şikayetim çözüldü paket içeriği satın alma işlemini gerçekleştirdim”
Turkcell Kurumsaldan Bireysele Geçişte Yaşanan Sorunlar,“Teşekkür ederim”
Turkcell Çalışan Kampanyası Acil,“Çözüm için teşekkürler. Turkcell kalite ve büyüklüğünü gösterdi”
Turkcell Otomatik Paket Ekleme Merasimi,“Teşekkür ederim sorunum çözüldü”
Turkcell Sözünde Durmayarak Beni Mağdur Etmeye Devam Ediyor.,“Teşekkür ederim. İyi günler.”
Turkcell Tyg Avantaj İstemim Dışında Aktive Edilmiş,"“Turkcell Müşteri temsilcisine ve bu konuda bana yardımcı olan teknik ekibe çok teşekkür ederim. İşlemler aşırı hızlı ilerledi henüz Şikayetvar platformunda sonuç yazmadılar ancak müşteri temsilcisiyle yaptığım telefon görüşmesinde ben henüz bir şey demeden yaptığım talep hakkında konu açıldı ve gerekli kontrolleri yaptılar. Ve zaten hatanın düzeltildiğini söylediler. Dijital operatörden de baktım ve param iade edildi. Güncel fatura tutarım normal ücret seviyesine indi. 161,40 TL geri iade oldu. Teşekkürler Turkcell”"
Turkcell 3aylık Youtube.com Premium Hediyesi Aktivasyonu Yapılamıyor,“Doğru yönlendirildim teşekkürler”
Turkcell Allinmobi Ve Playcenter Para İadesi Ve Üyelik İptali İstiyorum,“İlgi ve alakanız için çözümünüz için teşekkürler ederim”
Turkcell Yanlış Numara Çevirdiniz Hatası,"“Sorunum çözüldü, teşekkürler.”"
Http Click N Play Diye Bir Şey Yansıtıldı Faturama Turkcell Tarafından,“Şikayetimle ilgilenen Öznur hanım a çok teşekkür ediyorum. Sorunumu kendi sorunu gibi görerek titizlikle ilgilenmesi ve ivedilikle çözümü için çok teşekkür ediyorum”
Turkcell Sinyalizasyon Hatasından Türkiye'de Yansıtılan Yurt Dışı Tuta,“Hızlı çözüm için teşekkür ederim.”
Turkcell Akıllım Güvende Ödeme,“Sorun çözüldü teşekkürler”
Turkcell Hattımı Kapamayıp Beni Borçlu Duruma Düşürmüş,“0850 222 20 20 numarasını aradığımda yanlış hatırlamıyorsam adı Ersan olan Turkcell çalışanına teşekkürüm sadece.”
Turkcell Tek Kullanımlık Kod Gelmiyor,“Turkcell müşteri hizmetleri ekibine ilgi ve göstermiş oldukları alaka için çok teşekkür ediyorum.”
Turkcell Müşteri Hizmetleri İlgisizliği Şikayet,“Problemim çözüldü fakat destek hattını aradığımız zaman 4 farklı destek çalışanıda aynı cevapları veriyor. Sessiz kalınırsa herhangi bir düzeltme yapılmadan geçilecekti. İşi zorlukla çözmek Turkcell gibi büyük marka için üzücü bir durum. Teşekkürler...”
Turkcell Paycell Ücret Kesintisi İtirazı,“Çözüm sağlandı teşekkür ederiz.”
Turkcell E-sim Aktifleştirme Sorunu,“Teşekkürler”
Turkcell'den Çelişkili Çağrı Bekletme Ücreti Sorunu,“Teşekkürler sorun çözüldü”
Turkcell'e Bağlan Borçlara Haksız Kazançta Turkcell Gibisi Yok,“Teşekkürler”
